year,area,num
201512,서울특별시 성북구,34
201512,서울특별시 성북구,1
201512,서울특별시 성북구,2
201512,서울특별시 성북구,43
201512,서울특별시 성북구,1
201512,서울특별시 성북구,52
201512,서울특별시 성북구,757
201512,서울특별시 성북구,159
201512,서울특별시 성북구,1
201512,서울특별시 성북구,1022
201512,서울특별시 성북구,1
201512,서울특별시 성북구,1065
201512,서울특별시 성북구,2
201512,서울특별시 성북구,116
201512,서울특별시 성북구,10
201512,서울특별시 성북구,1450
201512,서울특별시 동대문구,127
201512,서울특별시 동대문구,10
201512,서울특별시 동대문구,346
201512,서울특별시 동대문구,4
201512,서울특별시 동대문구,12
201512,서울특별시 동대문구,5
201512,서울특별시 동대문구,573
201512,서울특별시 동대문구,13
201512,서울특별시 동대문구,127
201512,서울특별시 동대문구,4
201512,서울특별시 동대문구,17
201512,서울특별시 동대문구,52
201512,서울특별시 동대문구,12
201512,서울특별시 동대문구,4
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,6
201512,서울특별시 동대문구,191
201512,서울특별시 성북구,206
201512,서울특별시 성북구,8
201512,서울특별시 성북구,2
201512,서울특별시 성북구,350
201512,서울특별시 성북구,24
201512,서울특별시 성북구,4
201512,서울특별시 성북구,2
201512,서울특별시 성북구,2
201512,서울특별시 성북구,1
201512,서울특별시 성북구,2
201512,서울특별시 성북구,1
201512,서울특별시 성북구,152
201512,서울특별시 성북구,1
201512,서울특별시 성북구,2295
201512,서울특별시 성북구,3
201512,서울특별시 성북구,1
201512,서울특별시 성북구,1
201512,서울특별시 동대문구,1
201512,서울특별시 동대문구,4
201512,서울특별시 동대문구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,6
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,1194
201512,서울특별시 중랑구,516
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,876
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,3
201512,서울특별시 중랑구,402
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,22
201512,서울특별시 중랑구,257
201512,서울특별시 중랑구,2
201512,서울특별시 성북구,1
201512,서울특별시 성북구,1
201512,서울특별시 성북구,1
201512,서울특별시 성북구,3
201512,서울특별시 성북구,186
201512,서울특별시 성북구,12
201512,서울특별시 성북구,308
201512,서울특별시 성북구,56
201512,서울특별시 성북구,3
201512,서울특별시 성북구,663
201512,서울특별시 성북구,2
201512,서울특별시 성북구,1
201512,서울특별시 성북구,53
201512,서울특별시 성북구,83
201512,서울특별시 성북구,41
201512,서울특별시 성북구,1
201512,서울특별시 강북구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,103
201512,서울특별시 중랑구,226
201512,서울특별시 중랑구,2
201512,서울특별시 중랑구,8
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,982
201512,서울특별시 중랑구,385
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,1148
201512,서울특별시 중랑구,1299
201512,서울특별시 중랑구,4
201512,서울특별시 중랑구,103
201512,서울특별시 중랑구,3
201512,서울특별시 중랑구,2
201512,서울특별시 강북구,1080
201512,서울특별시 강북구,21
201512,서울특별시 강북구,63
201512,서울특별시 강북구,1
201512,서울특별시 강북구,1
201512,서울특별시 강북구,522
201512,서울특별시 강북구,1
201512,서울특별시 강북구,150
201512,서울특별시 강북구,1346
201512,서울특별시 강북구,3
201512,서울특별시 강북구,3
201512,서울특별시 강북구,1
201512,서울특별시 강북구,2380
201512,서울특별시 강북구,1
201512,서울특별시 강북구,2
201512,서울특별시 강북구,1
201512,서울특별시 강북구,2
201512,서울특별시 강북구,4
201512,서울특별시 중랑구,66
201512,서울특별시 중랑구,2
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,1
201512,서울특별시 중랑구,2
201512,서울특별시 중랑구,253
201512,서울특별시 중랑구,2776
201512,서울특별시 중랑구,6
201512,서울특별시 중랑구,489
201512,서울특별시 중랑구,4
201512,서울특별시 중랑구,1
201512,서울특별시 성북구,3
201512,서울특별시 성북구,4
201512,서울특별시 성북구,1
201512,서울특별시 성북구,1
201512,서울특별시 성북구,3
201512,서울특별시 성북구,4
201512,서울특별시 강북구,2
201512,서울특별시 강북구,7
201512,서울특별시 강북구,5
201512,서울특별시 강북구,3
201512,서울특별시 강북구,3
201512,서울특별시 강북구,670
201512,서울특별시 강북구,427
201512,서울특별시 강북구,2
201512,서울특별시 강북구,1
201512,서울특별시 강북구,1
201512,서울특별시 강북구,18
201512,서울특별시 강북구,1
201512,서울특별시 강북구,1
201512,서울특별시 강북구,1051
201512,서울특별시 강북구,1
201512,서울특별시 강북구,115
201512,서울특별시 강북구,16
201512,서울특별시 성북구,2
201512,서울특별시 성북구,2
201512,서울특별시 성북구,297
